Country,Age65plus_2011,Age65plus_2012,Age65plus_2013,Age65plus_2014,Age65plus_2015,Age65plus_2016,Age65plus_2017,Age65plus_2018
Austria,17.80,17.99,18.18,18.37,18.44,18.49,18.60,18.75
Belgium,17.38,17.59,17.80,18.02,18.21,18.39,18.58,18.78
Bulgaria,18.70,19.16,19.62,20.08,20.51,20.88,21.21,21.57
Czechia,16.04,16.57,17.09,17.61,18.09,18.56,19.02,19.44
Denmark,17.31,17.68,18.05,18.42,18.75,19.04,19.30,19.55
Estonia,17.47,17.84,18.20,18.56,18.89,19.19,19.47,19.68
Finland,17.89,18.48,19.07,19.66,20.21,20.68,21.14,21.61
France,17.23,17.70,18.17,18.65,19.11,19.53,19.93,20.31
Germany,20.22,20.39,20.57,20.74,20.95,21.14,21.31,21.50
Greece,19.67,19.96,20.24,20.52,20.80,21.10,21.37,21.62
Hungary,16.64,17.00,17.36,17.73,18.10,18.47,18.81,19.14
Cyprus,11.48,11.79,12.09,12.40,12.70,13.00,13.29,13.57
Ireland,11.93,12.24,12.56,12.87,13.12,13.38,13.66,13.94
Italy,20.60,20.96,21.32,21.69,22.01,22.28,22.52,22.76
Latvia,18.66,18.99,19.32,19.65,19.95,20.22,20.50,20.75
Liechtenstein,14.11,14.64,15.16,15.69,16.18,16.69,17.15,17.60
Lithuania,18.13,18.42,18.71,18.99,19.27,19.50,19.73,19.94
Luxembourg,13.75,13.86,13.98,14.09,14.17,14.22,14.28,14.35
Malta,17.20,17.56,17.93,18.29,18.56,18.70,18.76,18.79
Netherlands,16.12,16.58,17.03,17.49,17.89,18.25,18.61,18.97
Norway,15.28,15.53,15.78,16.03,16.28,16.52,16.78,17.09
Poland,13.48,13.99,14.50,15.01,15.54,16.11,16.69,17.26
Portugal,18.76,19.22,19.67,20.13,20.55,20.96,21.37,21.72
Romania,15.53,15.84,16.15,16.45,16.83,17.19,17.56,17.95
Slovak Republic,12.54,12.95,13.36,13.77,14.22,14.73,15.27,15.79
Slovenia,16.21,16.62,17.04,17.45,17.89,18.33,18.76,19.22
Spain,17.07,17.48,17.88,18.29,18.59,18.82,19.07,19.29
Sweden,18.69,18.93,19.17,19.41,19.59,19.71,19.79,19.88
Switzerland,17.09,17.29,17.49,17.68,17.86,18.01,18.18,18.36
United Kingdom,16.74,17.02,17.30,17.58,17.80,17.97,18.14,18.32
