Country,Unemp_2011,Unemp_2012,Unemp_2013,Unemp_2014,Unemp_2015,Unemp_2016,Unemp_2017,Unemp_2018
Belgium,7.2,7.6,8.4,8.5,8.5,7.8,7.1,6
Bulgaria,11.3,12.3,13,11.4,9.2,7.6,6.2,5.2
Czechia,6.7,7,7,6.1,5.1,4,2.9,2.2
Denmark,7.8,7.8,7.4,6.9,6.3,6,5.8,5.1
Germany,5.8,5.4,5.2,5,4.6,4.1,3.8,3.4
Estonia,12.3,10,8.6,7.4,6.4,6.9,5.8,5.4
Ireland,15.4,15.5,13.8,11.9,10,8.4,6.7,5.8
Greece,17.9,24.5,27.5,26.5,24.9,23.6,21.5,19.3
Spain,21.4,24.8,26.1,24.5,22.1,19.6,17.2,15.3
France,9.2,9.8,10.3,10.3,10.4,10.1,9.4,9
Croatia,13.7,16,17.3,17.3,16.2,13.1,11.2,8.5
Italy,8.4,10.7,12.2,12.7,11.9,11.7,11.2,10.6
Cyprus,7.9,11.9,15.9,16.1,15,13,11.1,8.4
Latvia,16.2,15,11.9,10.8,9.9,9.6,8.7,7.4
Lithuania,15.4,13.4,11.8,10.7,9.1,7.9,7.1,6.2
Luxembourg,4.9,5.1,5.9,5.9,6.7,6.3,5.5,5.6
Hungary,11,11,10.2,7.7,6.8,5.1,4.2,3.7
Malta,6.4,6.2,6.1,5.7,5.4,4.7,4,3.7
Netherlands,5,5.8,7.3,7.4,6.9,6,4.9,3.8
Austria,4.6,4.9,5.4,5.6,5.7,6,5.5,4.9
Poland,9.7,10.1,10.3,9,7.5,6.2,4.9,3.9
Portugal,12.9,15.8,16.4,14.1,12.6,11.2,9,7.1
Romania,7.2,6.8,7.1,6.8,6.8,5.9,4.9,4.2
Slovenia,8.2,8.9,10.1,9.7,9,8,6.6,5.1
Slovakia,13.6,14,14.2,13.2,11.5,9.7,8.1,6.5
Finland,7.8,7.7,8.2,8.7,9.4,8.8,8.6,7.4
Sweden,7.8,8,8.1,8,7.4,7,6.7,6.4
Norway,3.2,3.1,3.4,3.5,4.3,4.7,4.2,3.8
Switzerland,4.4,4.5,4.8,4.9,4.8,5,4.8,4.7
United Kingdom,8.1,7.9,7.5,6.1,5.3,4.8,4.3,4
